,time stamp,date_pt,hour_pt,time_pt,var,value,site,vartype,dates,timestep_sum
122,2015-01-06 02:00:00,2015-01-06,2,2015-01-06 02:00:00,GPM,0.0,sunset,Flow (GPM),2015-01-06,1
123,2015-01-06 03:00:00,2015-01-06,3,2015-01-06 03:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-06,1
124,2015-01-06 04:00:00,2015-01-06,4,2015-01-06 04:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-06,1
125,2015-01-06 05:00:00,2015-01-06,5,2015-01-06 05:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-06,1
126,2015-01-06 06:00:00,2015-01-06,6,2015-01-06 06:00:00,GPM,170.0,sunset,Flow (GPM),2015-01-06,1
127,2015-01-06 07:00:00,2015-01-06,7,2015-01-06 07:00:00,GPM,310.0,sunset,Flow (GPM),2015-01-06,1
128,2015-01-06 08:00:00,2015-01-06,8,2015-01-06 08:00:00,GPM,180.0,sunset,Flow (GPM),2015-01-06,1
129,2015-01-06 09:00:00,2015-01-06,9,2015-01-06 09:00:00,GPM,170.0,sunset,Flow (GPM),2015-01-06,1
130,2015-01-06 10:00:00,2015-01-06,10,2015-01-06 10:00:00,GPM,90.0,sunset,Flow (GPM),2015-01-06,1
131,2015-01-06 11:00:00,2015-01-06,11,2015-01-06 11:00:00,GPM,100.0,sunset,Flow (GPM),2015-01-06,1
132,2015-01-06 12:00:00,2015-01-06,12,2015-01-06 12:00:00,GPM,80.0,sunset,Flow (GPM),2015-01-06,1
133,2015-01-06 13:00:00,2015-01-06,13,2015-01-06 13:00:00,GPM,110.00000000000001,sunset,Flow (GPM),2015-01-06,1
134,2015-01-06 14:00:00,2015-01-06,14,2015-01-06 14:00:00,GPM,70.0,sunset,Flow (GPM),2015-01-06,1
135,2015-01-06 15:00:00,2015-01-06,15,2015-01-06 15:00:00,GPM,70.0,sunset,Flow (GPM),2015-01-06,1
136,2015-01-06 16:00:00,2015-01-07,16,2015-01-06 16:00:00,GPM,90.00000000000001,sunset,Flow (GPM),2015-01-06,1
137,2015-01-06 17:00:00,2015-01-07,17,2015-01-06 17:00:00,GPM,70.0,sunset,Flow (GPM),2015-01-06,1
138,2015-01-06 18:00:00,2015-01-07,18,2015-01-06 18:00:00,GPM,70.0,sunset,Flow (GPM),2015-01-06,1
139,2015-01-06 19:00:00,2015-01-07,19,2015-01-06 19:00:00,GPM,80.0,sunset,Flow (GPM),2015-01-06,1
140,2015-01-06 20:00:00,2015-01-07,20,2015-01-06 20:00:00,GPM,70.0,sunset,Flow (GPM),2015-01-06,1
141,2015-01-06 21:00:00,2015-01-07,21,2015-01-06 21:00:00,GPM,70.0,sunset,Flow (GPM),2015-01-06,1
142,2015-01-06 22:00:00,2015-01-07,22,2015-01-06 22:00:00,GPM,50.0,sunset,Flow (GPM),2015-01-06,1
143,2015-01-06 23:00:00,2015-01-07,23,2015-01-06 23:00:00,GPM,50.0,sunset,Flow (GPM),2015-01-06,1
144,2015-01-07 00:00:00,2015-01-07,0,2015-01-07 00:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-07,1
145,2015-01-07 01:00:00,2015-01-07,1,2015-01-07 01:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-07,1
146,2015-01-07 02:00:00,2015-01-07,2,2015-01-07 02:00:00,GPM,0.0,sunset,Flow (GPM),2015-01-07,1
147,2015-01-07 03:00:00,2015-01-07,3,2015-01-07 03:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-07,1
148,2015-01-07 04:00:00,2015-01-07,4,2015-01-07 04:00:00,GPM,0.0,sunset,Flow (GPM),2015-01-07,1
149,2015-01-07 05:00:00,2015-01-07,5,2015-01-07 05:00:00,GPM,30.0,sunset,Flow (GPM),2015-01-07,1
150,2015-01-07 06:00:00,2015-01-07,6,2015-01-07 06:00:00,GPM,70.0,sunset,Flow (GPM),2015-01-07,1
151,2015-01-07 07:00:00,2015-01-07,7,2015-01-07 07:00:00,GPM,230.0,sunset,Flow (GPM),2015-01-07,1
152,2015-01-07 08:00:00,2015-01-07,8,2015-01-07 08:00:00,GPM,270.0,sunset,Flow (GPM),2015-01-07,1
153,2015-01-07 09:00:00,2015-01-07,9,2015-01-07 09:00:00,GPM,110.0,sunset,Flow (GPM),2015-01-07,1
154,2015-01-07 10:00:00,2015-01-07,10,2015-01-07 10:00:00,GPM,70.0,sunset,Flow (GPM),2015-01-07,1
155,2015-01-07 11:00:00,2015-01-07,11,2015-01-07 11:00:00,GPM,510.0,sunset,Flow (GPM),2015-01-07,1
156,2015-01-07 12:00:00,2015-01-07,12,2015-01-07 12:00:00,GPM,410.0,sunset,Flow (GPM),2015-01-07,1
157,2015-01-07 13:00:00,2015-01-07,13,2015-01-07 13:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-07,1
158,2015-01-07 14:00:00,2015-01-07,14,2015-01-07 14:00:00,GPM,50.0,sunset,Flow (GPM),2015-01-07,1
159,2015-01-07 15:00:00,2015-01-07,15,2015-01-07 15:00:00,GPM,80.00000000000001,sunset,Flow (GPM),2015-01-07,1
160,2015-01-07 16:00:00,2015-01-08,16,2015-01-07 16:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-07,1
161,2015-01-07 17:00:00,2015-01-08,17,2015-01-07 17:00:00,GPM,70.0,sunset,Flow (GPM),2015-01-07,1
162,2015-01-07 18:00:00,2015-01-08,18,2015-01-07 18:00:00,GPM,50.0,sunset,Flow (GPM),2015-01-07,1
163,2015-01-07 19:00:00,2015-01-08,19,2015-01-07 19:00:00,GPM,80.0,sunset,Flow (GPM),2015-01-07,1
164,2015-01-07 20:00:00,2015-01-08,20,2015-01-07 20:00:00,GPM,110.0,sunset,Flow (GPM),2015-01-07,1
165,2015-01-07 21:00:00,2015-01-08,21,2015-01-07 21:00:00,GPM,130.0,sunset,Flow (GPM),2015-01-07,1
166,2015-01-07 22:00:00,2015-01-08,22,2015-01-07 22:00:00,GPM,70.0,sunset,Flow (GPM),2015-01-07,1
167,2015-01-07 23:00:00,2015-01-08,23,2015-01-07 23:00:00,GPM,80.00000000000001,sunset,Flow (GPM),2015-01-07,1
168,2015-01-08 00:00:00,2015-01-08,0,2015-01-08 00:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-08,1
169,2015-01-08 01:00:00,2015-01-08,1,2015-01-08 01:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-08,1
170,2015-01-08 02:00:00,2015-01-08,2,2015-01-08 02:00:00,GPM,0.0,sunset,Flow (GPM),2015-01-08,1
171,2015-01-08 03:00:00,2015-01-08,3,2015-01-08 03:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-08,1
172,2015-01-08 04:00:00,2015-01-08,4,2015-01-08 04:00:00,GPM,0.0,sunset,Flow (GPM),2015-01-08,1
173,2015-01-08 05:00:00,2015-01-08,5,2015-01-08 05:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-08,1
174,2015-01-08 06:00:00,2015-01-08,6,2015-01-08 06:00:00,GPM,140.0,sunset,Flow (GPM),2015-01-08,1
175,2015-01-08 07:00:00,2015-01-08,7,2015-01-08 07:00:00,GPM,260.0,sunset,Flow (GPM),2015-01-08,1
176,2015-01-08 08:00:00,2015-01-08,8,2015-01-08 08:00:00,GPM,220.00000000000003,sunset,Flow (GPM),2015-01-08,1
177,2015-01-08 09:00:00,2015-01-08,9,2015-01-08 09:00:00,GPM,100.0,sunset,Flow (GPM),2015-01-08,1
178,2015-01-08 10:00:00,2015-01-08,10,2015-01-08 10:00:00,GPM,50.0,sunset,Flow (GPM),2015-01-08,1
179,2015-01-08 11:00:00,2015-01-08,11,2015-01-08 11:00:00,GPM,60.0,sunset,Flow (GPM),2015-01-08,1
180,2015-01-08 12:00:00,2015-01-08,12,2015-01-08 12:00:00,GPM,30.0,sunset,Flow (GPM),2015-01-08,1
